Type,Name,EligibilityUrl,WebsiteUrl,Degree,CourseOffered,MappedSubjects,Eligibility,Remarks
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Integrated Bachelor and Masters in Social Work (BSW + MSW)","BSW + MSW (5 Year Integrated Course in Social Work) 3 year BSW, 2 Year MSW"," 1. English 2. General Test and 3. Any two domain specific subjects.",Candidates who have passed HS or equivalent examination (10+2) with at least 55% marks in aggregate are eligible for admission to Five-Year Integrated Post Graduate Course in Social Work. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor in Visual Arts (BVA)",BVA (4 Year Under Graduate Course in Visual Arts)," 1. English 2. General Test and 3. Fine Arts/ Visual Arts.",Candidates who have passed HS or equivalent examination (10+2) with at least 45% marks in aggregate are eligible for admission in four years BVA course in Visual Arts. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Integrated B.A. LLB",Integrated B.A. LLB (B.A. LLB (Hons.) (5 Years Integrated Course in Law))," 1. English 2. General Test and 3. Any two domain specific subjects","50% of marks in the qualifying examination (10+2) as well as 45% in English subject, separately, in the qualifying examination are the eligibility criteria. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.",
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor in Pharmaceutical Sciences",B. Pharm (4 Years Under Graduate Course in Pharmaceutical Science)," 1. English 2. Three domain specific subjects viz; Physics, Chemistry and Biology or Mathematics.","Candidates who have passed 10+2 level examination with individual pass marks in Physics, Chemistry, Mathematics or Biology both in theory and practical and 50% aggregate marks in the above subjects are eligible for admission. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.",
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor in Performing Arts (BPA)",BPA (3 Year Under Graduate Course in Performing Arts)," 1. Any one Language 2. General Test and 3. Performing Arts.",10+2 level examination pass. Merit of the candidates will be on the basis of NTA-CUET score.,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Integrated Bachelor and Masters in Computer Science (B.Sc + M. Sc.)","M. Sc. (5 Year Integrated Course in Computer Science) : 3 year B.Sc Computer Science, 2 Year M.Sc Computer Science"," 1. English 2. Three domain specific subjects viz; Physics and Mathematics as compulsory subjects and any one other science subject.","Candidates who have passed the HS examination (10+2) in Science stream with Physics and Mathematics (in combination with any other science subjects) with at least 50% marks in aggregate are eligible for admission into the first semester of M. Sc. (Integrated) five year programme. To be eligible for admission in the 7th semester of the M. Sc. (Integrated) programme, a student has to pass in all the papers up to the 6th semester of the M. Sc. Integrated programme. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.",
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Integrated B. Sc. B. Ed.","B. Sc. B. Ed. (4 Year Under Graduate Course in Education) A. Physics (Hons.) B.Ed, B. Chemistry (Hons.) B.Ed, C. Zoology (Hons.) B.Ed, D. Botany (Hons.) B.Ed"," 1. English 2. Three domain specific subjects of which Teaching Aptitude subject shall be considered as mandatory. Candidates desiring admission to Honours course in Physics should have Physics and Maths/ Chemistry. Candidates desiring admission to Honours course in Chemistry should have Chemistry and Maths/Physics. Candidates desiring admission to Honours course in Zoology should have Biology and Chemistry. Candidates desiring admission to Honours course in Botany should have Biology and Chemistry.",Candidates with a minimum of 50% marks in Higher Secondary with Science background are eligible for admission. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET score.,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Integrated MBA (Master in Business Administration)",MBA (5 year integrated course in Business Administration)," 1. English 2. Mathematics 3. General Knowledge",Candidates who have passed Higher Secondary (HS) or equivalent examination (10+2) with at least 60% marks in aggregate are eligible for admission to Five-Year Integrated Post Graduate Course in Business Administration. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA-CUET  score.,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of Science (B.Sc) ",Four Year Undergraduate Programme in Science," 1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects.",Candidates who have passed HS or equivalent examination (10+2) in Science are eligible for admission to Four Year Undergraduate Programme in Science.  Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of Arts (BA)",Four Year Undergraduate Programme in Arts," 1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects.",Candidates who have passed HS or equivalent examination (10+2) in any stream are eligible for admission to Four Year Undergraduate Programme in Arts.  Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of Commerce ( B.Com)",Four Year Undergraduate Programme in Commerce," 1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects of which Accountancy and Business Studies are mandatory",Candidates who have passed HS or equivalent examination (10+2) in Commerce and Science are eligible for admission to Four Year Undergraduate Programme in Commerce.Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of Business Administration ( BBA)",Four Year Undergraduate Programme in Bisiness Administration," 1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects.",Candidates who have passed HS or equivalent examination (10+2) in any stream are eligible for admission to Four Year Undergraduate Programme in Business Administration.  Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of  Computer Application ( BCA)",Four Year Undergraduate Programme in Computer Application," 1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects.",Candidates who have passed HS or equivalent examination (10+2) in any stream are eligible for admission to Four Year Undergraduate Programme in Computer Application.  Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,ASSAM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mg==,," Bachelor of Vocational Course ( B.Voc)",Four Year Undergraduate Programme in Vocational Courses,"  1. English 2. Any three domain specific subjects related to desired DSC and DSM subjects.",Candidates who have passed HS or equivalent examination (10+2) in any stream are eligible for admission to Four Year Undergraduate Programme in Vocational Courses.  Merit of the candidates will be on the basis of NTA-CUET score. Eligibility criteria for offering DSC subject shall be as per the guideline of respective colleges. At the time of selecting subjects for CUET candidates may visit website/ prospectus of concerned college,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Integrated B.Sc.-M.Sc.",Integrated B.Sc.-M.Sc. Basic Science," Section IA Languages (Any of the listed languages may be chosen.) Section II/III - Biology/Chemistry/Mathematics/ Physics (Any Three)",Intermediate in PCM/PCB with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Sc.",B.Sc. (Hons.) Geology," Section IA Languages (Any of the listed languages may be chosen.) Section II/III - Chemistry/Geography/Physics/ Biology/ Mathematics(Any Three)",Intermediate in Science with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.A.",B.A. (Hons.) Public Administration," Section IA Languages (Any of the listed languages may be chosen.) Section II/III - Political Science/ Economics/ History/ Sociology/ Geography/ Knowledge Tradition-Practices of India(Any Three)",Intermediate in any subject with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Sc.","B.Sc. Life Sciences (With combination of Zoology, Botany and Biotechnology)"," Section IA Languages (Any of the listed languages may be chosen.) Section II/III - Biology/Chemistry/Physics(All Three)","Intermediate with Physics, Chemistry, Biology with 50% marks (45% for SC/ST/ PwD) from recognized board",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Voc.",B.Voc. (Floriculture and Landscape Gardening)," Section IA Languages (Any of the listed languages may be chosen.) Section III - General Test",Intermediate in any discipline with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Com ",B.Com (Hons)," Section IA Languages (Any of the listed languages may be chosen.) Section III - General Test",Intermediate in any subject with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," BBA",BBA (Bachelor of Business Administration)," Section IA Languages (Any of the listed languages may be chosen.) Section III - General Test",Intermediate in any subject with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," BBA LLB",BBA LLB (H)," Section IA Languages (Any of the listed languages may be chosen.) Section II - Legal Studies/ Computer Science/ Economics/ Geography/ History/ Political Science(Any Three)",Candidate should have passed Intermediate Examination or equivalent examination with not less than 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Diploma in ECCE",Diploma in ECCE (Early Childhood Care &amp; Education)," Section IA Languages (Any of the listed languages may be chosen.)Section III - General Test",Intermediate in any subjects with 50% marks (45% for SC/ST/PwD) from recognized board.,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.A. (Hons.)","B.A. (Hons.) (Optional-History, Sociology and English)"," Section IA Languages (Any of the listed languages may be chosen.). Section III- General Test",Intermediate in any subject with 50% marks (45% for SC/ST/PwD) from recognized board.,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Sc.",B.Sc. (Food Science &amp; Technology)," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Biology (All Three)","Intermediate with Physics, Chemistry and Biology with 50% marks (45% for SC/ST/PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Sc.",B.Sc. IT," Section IA Languages (Any of the listed languages may be chosen.) Section II - Physics/ Chemistry/ Mathematics/ Computer Science/ Information Practices(Any Three)",Intermediate with Science with 50% marks (45% for SC/ST/PwD) from recognized board.,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Bachelor of Commerce",Bachelor of Commerce," Section IA Languages (Any of the listed languages may be chosen.) Section III - General Test",Intermediate in any subject with 50% marks (45% for SC/ST/PwD) from recognized board,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Bachelor of Computer Application",Bachelor of Computer Application," Section IA Languages (Any of the listed languages may be chosen.) Section II- Physics/ Chemistry/ Mathematics/ Computer Science/ Information Practices(Any Three)","Intermediate with a combination of Physics, Chemistry and Mathematics or Computer Science or equivalent as one of the subject with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Diploma in Pharmacy",Diploma in Pharmacy (D. Pharm.)," Section IA Languages (Any of the listed languages may be chosen.) Section II- Physics/ Chemistry/ Biology/ Mathematics(Any Three)","Intermediate with a combination of Physics, Chemistry and Mathematics or Biology as one of the subject with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Civil Engineering," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Mathematics (All Three)","Intermediate with Physics, Chemistry and Mathematics with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Computer Engineering," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Mathematics (All Three)","Intermediate with Physics, Chemistry and Mathematics with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Electrical Engineering," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Mathematics (All Three)","Intermediate with Physics, Chemistry and Mathematics with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Electronics &amp; Communication Engineering," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Mathematics (All Three)","Intermediate with Physics, Chemistry and Mathematics with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Mechanical Engineering," Section IA Languages (Any of the listed languages may be chosen.). Section II/III- Physics/ Chemistry/ Mathematics (All Three)","Intermediate with Physics, Chemistry and Mathematics with 50% marks (45% for SC/ST/ PwD) from recognized board.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Civil Engineering (Lateral Entry)," Section-I Any of the Language as listed by NTA Section-II Mathematics/Applied Mathematics, Computer Science/Engineering graphics, Physics, Informatics Practices Section-III General Test","1. Passed Diploma examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in ANY branch of Engineering and Technology.
 OR
 Passed B.Sc. Degree from a recognized University as defined by UGC, with at least 45% marks (40% marks in case of candidates belonging to reserved category) and passed 10+2 examination with Mathematics as a subject.
 2. Provided that the students belonging to B.Sc. Stream, shall clear the subjects Engineering Graphics/Engineering Drawing and Engineering Mechanics of the First Year Engineering Programme along with the Second year Subjects.
 3. Provided that the students belonging to B.Sc. Stream shall be considered only after filling the supernumerary seats in this category with students belonging to the Diploma stream.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Computer Engineering (Lateral Entry)," Section-I Any of the Language as listed by NTA Section-II Mathematics/Applied Mathematics, Computer Science/Engineering graphics, Physics, Informatics Practices Section-III General Test","1. Passed Diploma examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in ANY branch of Engineering and Technology.
 OR
 Passed B.Sc. Degree from a recognized University as defined by UGC, with at least 45% marks (40% marks in case of candidates belonging to reserved category) and passed 10+2 examination with Mathematics as a subject.
 2. Provided that the students belonging to B.Sc. Stream, shall clear the subjects Engineering Graphics/Engineering Drawing and Engineering Mechanics of the First Year Engineering Programme along with the Second year Subjects.
 3. Provided that the students belonging to B.Sc. Stream shall be considered only after filling the supernumerary seats in this category with students belonging to the Diploma stream.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Electrical Engineering (Lateral Entry)," Section-I Any of the Language as listed by NTA Section-II Mathematics/Applied Mathematics, Computer Science/Engineering graphics, Physics, Informatics Practices Section-III General Test","1. Passed Diploma examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in ANY branch of Engineering and Technology.
 OR
 Passed B.Sc. Degree from a recognized University as defined by UGC, with at least 45% marks (40% marks in case of candidates belonging to reserved category) and passed 10+2 examination with Mathematics as a subject.
 2. Provided that the students belonging to B.Sc. Stream, shall clear the subjects Engineering Graphics/Engineering Drawing and Engineering Mechanics of the First Year Engineering Programme along with the Second year Subjects.
 3. Provided that the students belonging to B.Sc. Stream shall be considered only after filling the supernumerary seats in this category with students belonging to the Diploma stream.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Electronics &amp; Communication Engineering (Lateral Entry)," Section-I Any of the Language as listed by NTA Section-II Mathematics/Applied Mathematics, Computer Science/Engineering graphics, Physics, Informatics Practices Section-III General Test","1. Passed Diploma examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in ANY branch of Engineering and Technology.
 OR
 Passed B.Sc. Degree from a recognized University as defined by UGC, with at least 45% marks (40% marks in case of candidates belonging to reserved category) and passed 10+2 examination with Mathematics as a subject.
 2. Provided that the students belonging to B.Sc. Stream, shall clear the subjects Engineering Graphics/Engineering Drawing and Engineering Mechanics of the First Year Engineering Programme along with the Second year Subjects.
 3. Provided that the students belonging to B.Sc. Stream shall be considered only after filling the supernumerary seats in this category with students belonging to the Diploma stream.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.Tech.",B.Tech. in Mechanical Engineering (Lateral Entry)," Section-I Any of the Language as listed by NTA Section-II Mathematics/Applied Mathematics, Computer Science/Engineering graphics, Physics, Informatics Practices Section-III General Test","1. Passed Diploma examination with at least 45% marks (40% marks in case of candidates belonging to reserved category) in ANY branch of Engineering and Technology.
 OR
 Passed B.Sc. Degree from a recognized University as defined by UGC, with at least 45% marks (40% marks in case of candidates belonging to reserved category) and passed 10+2 examination with Mathematics as a subject.
 2. Provided that the students belonging to B.Sc. Stream, shall clear the subjects Engineering Graphics/Engineering Drawing and Engineering Mechanics of the First Year Engineering Programme along with the Second year Subjects.
 3. Provided that the students belonging to B.Sc. Stream shall be considered only after filling the supernumerary seats in this category with students belonging to the Diploma stream.",
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," B.A. (FTMS) (Hons.)*",B.A. (Film Theatre &amp; Media Studies) (Hons.)*," Language (Any of the listed languages may be chosen.) General Test   *Subject to approval of Statutory Bodies of the University",Intermediate with 50% marks (45% for SC/ST/ PwD) from recognized board.,
CU,BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/Mw==,," Bachelor of Pharmacy*",B. Pharm.*," &quot;Language (Any of the listed languages may be chosen.)Domain Subject -Physics, Chemistry, Biology and Mathematics (Any Three) *Subject to approval of Pharmacy Council of India (PCI)&quot;","Intermediate with Physics, Chemistry and Biology or Mathematics (regular science academic stream) with 50% marks (45% for SC/ST/PwD) from recognized board",
CU,BANARAS HINDU UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/NA==,," B.A. (Hons.) Social Sciences",B.A. (Hons.) Social Sciences," 1. Language Test - English (101) or Hindi (102)  2. General Test (501)"," Passed 10+2 or equivalent Examination securing a minimum of 50% marks in the aggregate.  For B.A. Major in Economics, the candidate must have studied Mathematics as subject at High School Examination AGE:Not to be more than 22 years on 1st July 2024 (applicant should be born on or after 2nd July of 2002)",
CU,BANARAS HINDU UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/NA==,," B.A. LL.B ","B.A. LL.B "," 1. Language Test - English (101) or Hindi (102)  2. Subject Test – Legal Studies (317) 3. General Test (501)"," Applicant who has successfully completed/ is appearing in Senior Secondary School (10+2) or equivalent (Such as 11+1, A level in Senior School Leaving Certificate course) examination from a recognized University of India or outside or from a Senior Secondary Board or equivalent constituted or recognized by the Union or by a State Government or from any equivalent institution from a foreign country recognized by the Government of that country for the purpose of issue of qualifying certificate on successful completion of the course  However, the applicants who have obtained 10+2 or Graduation/Post-graduation through open Universities System directly without having any basic qualification for pursuing such studies shall not be eligible for admission to 5-year B.A. LL.B. (Hons. Course Minimum marks in qualifying examination for admission not below 50% of total marks in case of General category applicants, 45% in case of OBCs and 40% in case of SCs and STs applicant",
CU,BANARAS HINDU UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/NA==,," B.A.(Hons.) Arts",B.A.(Hons.) Arts," 1. Language Test - English (101) or Hindi (102) 2. General Test (501)"," Passed 10+2 or equivalent Examination securing a minimum of 50% marks in the aggregate.  For B.A. Major in Economics with minors in Mathematics/ Statistics the candidate must have studied Mathematics as one of the subjects at High School Examinations AGE:Not to be more than 22 years on 1st July 2024 (applicant should be born on or after 2nd July of 2002)",
